STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Dinamo Zagreb,Chelsea,1,0,0.31,0.69,6,15,3,3,0.44,0.56,0.49,0.1,0.51,Maksimir
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Salzburg,AC Milan,1,1,0.34,0.66,16,14,4,3,0.38,0.62,0.41,0.09,0.59,Red Bull Arena
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Celtic,Real Madrid,0,3,0.35,0.65,10,12,4,6,0.46,0.54,0.47,0.08,0.53,Celtic Park
 Group stage: Matchday 1 ,2022-06-09,False,False,False,RB Leipzig,Shakhtar Donetsk,1,4,0.68,0.32,13,5,2,4,0.47,0.53,0.49,0.08,0.51,Red Bull Arena
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Borussia Dortmund,København,3,0,0.63,0.37,15,7,4,2,0.49,0.51,0.45,0.06,0.55,Signal Iduna Park
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Sevilla,Manchester City,0,4,0.38,0.62,6,24,1,10,0.42,0.58,0.43,0.02,0.57,Ramón Sánchez Pizjuán
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Paris Saint-Germain,Juventus,2,1,0.58,0.42,15,13,6,4,0.36,0.64,0.45,0.03,0.55,Parc des Princes
 Group stage: Matchday 1 ,2022-06-09,False,False,False,Benfica,Maccabi Haifa,2,0,0.57,0.43,14,7,5,2,0.46,0.54,0.42,0.08,0.58,Stadion da Luz
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Ajax,Rangers,4,0,0.76,0.24,17,4,9,1,0.47,0.53,0.45,0.03,0.55,Amsterdam Arena
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Napoli,Liverpool,4,1,0.38,0.62,18,15,9,7,0.44,0.56,0.45,0.08,0.55,San Paolo
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Atletico Madrid,Porto,2,1,0.54,0.46,10,17,3,3,0.45,0.55,0.38,0.03,0.62,Vicente Calderon
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Club Brugge,Bayer Leverkusen,1,0,0.47,0.53,9,14,3,3,0.44,0.56,0.43,0.01,0.57,Jan Breydel
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Internazionale,Bayern Munich,0,2,0.44,0.56,9,21,2,11,0.45,0.55,0.41,0.08,0.59,San Siro
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Barcelona,Viktoria Plze?,5,1,0.77,0.23,20,8,11,1,0.43,0.57,0.37,0.1,0.63,Nou Camp
 Group stage: Matchday 1 ,2022-07-09,False,False,False,Eintracht Frankfurt,Sporting CP,0,3,0.43,0.57,11,8,2,5,0.42,0.58,0.38,0.1,0.62,Eintracht-Stadion
